,Name,IATA code,ICAO code
158,Douglas DC-8-62,D8L,DC86
159,Douglas DC-8-72,D8Q,DC87
160,Douglas DC-9-10,D91,DC91
161,Douglas DC-9-20,D92,DC92
162,Douglas DC-9-30,D93,DC93
163,Douglas DC-9-40,D94,DC94
164,Douglas DC-9-50,D95,DC95
165,Embraer 170,E70,E170
166,Embraer 175,E75,\N
167,Embraer 175 (long wing),E7W,E75L
168,Embraer 175 (short wing),E7W,E75S
169,Embraer 190,E90,E190
170,Embraer 195,E95,E195
171,Embraer E190-E2,290,E290
172,Embraer E195-E2,295,E295
173,Embraer EMB 110 Bandeirante,EMB,E110
174,Embraer EMB 120 Brasilia,EM2,E120
175,Embraer Legacy 450,\N,E545
176,Embraer Legacy 600,ER3,E35L
177,Embraer Phenom 100,EP1,E50P
178,Embraer Phenom 300,EP3,E55P
179,Embraer RJ135,ER3,E135
180,Embraer RJ140,ERD,E135
181,Embraer RJ145,ER4,E145
182,Fairchild Dornier 328JET,FRJ,J328
183,Fairchild Dornier Do.228,D28,D228
184,Fairchild Dornier Do.328,D38,D328
185,Fokker 100,100,F100
186,Fokker 50,F50,F50
187,Fokker 70,F70,F70
188,Fokker F27 Friendship,F27,F27
189,Fokker F28 Fellowship,F21,F28
190,Gulfstream Aerospace G-159 Gulfstream I,GRS,G159
191,Gulfstream G280,GR3,G280
192,Gulfstream G650,GJ6,GLF6
193,Gulfstream IV,GJ4,GLF4
194,Gulfstream V,GJ5,GLF5
195,Gulfstream/Rockwell (Aero) Commander,ACP,AC68
196,Gulfstream/Rockwell (Aero) Turbo Commander,ACT,AC90
197,Harbin Yunshuji Y12,YN2,Y12
198,Hawker Siddeley HS 748,HS7,A748
199,Ilyushin IL114,I14,I114
200,Ilyushin IL18,IL8,IL18
201,Ilyushin IL62,IL6,IL62
202,Ilyushin IL76,IL7,IL76
203,Ilyushin IL86,ILW,IL86
204,Ilyushin IL96,I93,IL96
205,Learjet 35,LRJ,LJ35
206,Learjet 60,LRJ,LJ60
207,Lockheed L-1011 Tristar,L10,L101
208,Lockheed L-1049 Super Constellation,L49,CONI
209,Lockheed L-182 / 282 / 382 (L-100) Hercules,LOH,C130
210,Lockheed L-188 Electra,LOE,L188
211,McDonnell Douglas MD-11,M11,MD11
212,McDonnell Douglas MD-81,M81,MD81
213,McDonnell Douglas MD-82,M82,MD82
214,McDonnell Douglas MD-83,M83,MD83
215,McDonnell Douglas MD-87,M87,MD87
216,McDonnell Douglas MD-88,M88,MD88
217,McDonnell Douglas MD-90,M90,MD90
218,NAMC YS-11,YS1,YS11
219,Partenavia P.68,PN6,P68
220,Pilatus Britten-Norman BN-2A Mk III Trislander,BNT,TRIS
221,Pilatus Britten-Norman BN-2A/B Islander,BNI,BN2P
222,Pilatus PC-12,PL2,PC12
223,Pilatus PC-6 Turbo Porter,PL6,PC6T
224,Piper PA-28 (above 200 hp),\N,P28B
225,Piper PA-28 (up to 180 hp),\N,P28A
226,Piper PA-31 Navajo,PA2,PA31
227,Piper PA-44 Seminole,\N,PA44
228,Piper PA-46,PAG,PA46
229,Saab 2000,S20,SB20
230,Saab SF340A/B,SF3,SF34
231,Shorts SC-5 Belfast,SHB,BELF
232,Shorts SC-7 Skyvan,SHS,SC7
233,Shorts SD.330,SH3,SH33
234,Shorts SD.360,SH6,SH36
235,Sikorsky S-58T,S58,S58T
236,Sikorsky S-61,S61,S61
237,Sikorsky S-76,S76,S76
238,Sikorsky S-92,S92,S92
239,Sukhoi Superjet 100-95,SU9,SU95
240,Tupolev Tu-134,TU3,T134
241,Tupolev Tu-144,\N,T144
242,Tupolev Tu-154,TU5,T154
243,Tupolev Tu-204,T20,T204
244,Yakovlev Yak-40,YK4,YK40
245,Yakovlev Yak-42,YK2,YK42
