,Airport ID,Name,City,Country,IATA,ICAO,Latitude,Longtitude,Altitude,TimeZone,DST
7195,11958,Omsukchan Airport,Omsukchan,Russia,\N,UHMF,62.45700073242188,155.7449951171875,1732,\N,\N
7196,11959,Chaybukha Airport,Chaybukha,Russia,\N,UHMG,61.834999084472656,160.54800415039062,207,\N,\N
7197,11960,Keperveem Airport,Keperveem,Russia,\N,UHMK,67.8450012207,166.13999939,623,\N,\N
7198,11961,Magadan-13 Airport,Magadan,Russia,\N,UHMT,59.62329864501953,150.9219970703125,164,\N,\N
7199,11962,Nikolayevsk-na-Amure Airport,Nikolayevsk-na-Amure Airport,Russia,NLI,UHNN,53.154999,140.649994,170,\N,\N
7200,11963,Palana Airport,Palana,Russia,\N,UHPL,59.08169937133789,159.88800048828125,112,\N,\N
7201,11964,Zheleznogorsk Airport,Zheleznogorsk-Ilimsky,Russia,\N,UIBV,56.487701416015625,104.1060028076172,1946,\N,\N
7202,11965,Gvardeyskoe Air Base,Sarabuz,Ukraine,\N,UKFG,45.1150016784668,33.97700119018555,721,\N,\N
7203,11966,Saki Air Base,Saki,Ukraine,\N,UKFI,45.09299850463867,33.595001220703125,36,\N,\N
7204,11967,Dzhankoy Airport,Dzhankoy,Ukraine,\N,UKFY,45.70090103149414,34.41889953613281,75,\N,\N
7205,11968,Ozerne Air Base,Zhytomyr,Ukraine,\N,UKKO,50.158298,28.7383,761,\N,\N
7206,11969,Severomorsk-1 Naval Air Base,Severomorsk,Russia,\N,ULAK,69.03166961669922,33.418331146240234,239,\N,\N
7207,11970,Pushkin Airport,St. Petersburg,Russia,\N,ULLP,59.685001,30.338301,230,\N,\N
7208,11971,Siversky Air Base,Siversky,Russia,\N,ULLS,59.3567008972168,30.036699295043945,341,\N,\N
7209,11972,Staraya Russa Air Base,Staraya Russa,Russia,\N,ULNR,57.961399,31.384399,52,\N,\N
7210,11973,Peski Airport,Petrozavodsk,Russia,\N,ULPP,61.83194351196289,34.295555114746094,0,\N,\N
7211,11974,Baranavichi Air Base,Baranavichi,Belarus,\N,UMMA,53.09999847412109,26.049999237060547,0,\N,\N
7212,11975,Babruisk Air Base,Babruisk,Belarus,\N,UMNB,53.105,29.205,502,\N,\N
7213,11976,Severo-Eniseysk Airport,Severo-Eniseysk,Russia,\N,UNIS,60.37329864501953,93.01170349121094,1706,\N,\N
7214,11977,Sharypovo Airport,Sharypovo,Russia,\N,UNKO,55.454914093,89.1738815308,1099,\N,\N
7215,11978,Omsk Severny Airport,Omsk,Russia,\N,UNOS,54.9749984741,73.5550003052,0,\N,\N
7216,11979,Nagurskoye,Murmansk,Russia,\N,UODN,80.803207,47.663586,59,\N,\N
7217,11980,Svetlogorsk Airport,Svetlogorsk,Russia,\N,UOIG,66.83999633789062,88.40333557128906,394,\N,\N
7218,11981,Valek Airport,Valek,Russia,\N,UOOW,69.39690399169922,88.35368347167969,108,\N,\N
7219,11982,Khanskaya Air Base,Maykop,Russia,\N,URKH,44.68,40.035,600,\N,\N
7220,11983,Dudinka Airport,Dudinka,Russia,\N,UROD,69.375,86.15666961669922,82,\N,\N
7221,11984,Volgodonsk Airport,\N,Russia,VLK,URRY,47.68209838867188,42.07279968261719,276,\N,\N
7222,11985,Tashkent East Airport,Tashkent,Uzbekistan,\N,UTTP,41.31269836425781,69.39140319824219,1574,\N,\N
7223,11986,Myachkovo Airport,Moscow,Russia,\N,UUBM,55.5600013733,37.9850006104,410,\N,\N
7224,11987,Tretyakovo Airport,Lukhovitsy,Russia,\N,UUMT,54.9049987793,39.02666854859999,515,\N,\N
7225,11988,Yermolino Airport,Balabanovo,Russia,\N,UUWE,55.2283325195,36.6083335876,640,\N,\N
7226,11989,Inta Airport,Inta,Russia,INA,UUYI,66.0548324584961,60.11032104492188,184,\N,\N
7227,11990,Izhma Airport,Izhma,Russia,\N,UUYV,65.03170013427734,53.970001220703125,230,\N,\N
7228,11991,Borisoglebskoye Airport,Kazan,Russia,\N,UWKG,55.86669921875,49.13330078125,213,\N,\N
7229,11992,Zhigansk Airport,Zhigansk,Russia,ZIX,UWKV,66.7965011597,123.361000061,292,\N,\N
7230,11993,Maksimovka Airport,Ufa,Russia,\N,UWUM,54.83000183105469,56.16830062866211,325,\N,\N
7231,11994,Buguruslan Severny Airport,Buguruslan,Russia,\N,UWWB,53.71839904789999,52.3718986511,728,\N,\N
7232,11995,Bezymyanka Airfield,Samara,Russia,\N,UWWG,53.220001220703125,50.32500076293945,135,\N,\N
7233,11996,Ratnagiri Airport,\N,India,RTC,VARG,17.013599,73.327797,305,\N,\N
7234,11997,Hingurakgoda Air Force Base,Polonnaruwa Town,Sri Lanka,HIM,VCCH,8.04981,80.9814,170,\N,\N
7235,11998,Kazi Nazrul Islam Airport,Durgapur,India,RDP,VEDG,23.6225,87.243,300,\N,\N
7236,11999,Ambala Air Force Station,\N,India,\N,VIAM,30.368099212646484,76.81670379638672,909,\N,\N
7237,12000,Sirsa Air Force Station,\N,India,\N,VISA,29.56060028076172,75.006103515625,650,\N,\N
7238,12001,Udhampur Air Force Station,\N,India,\N,VIUX,32.902198791503906,75.15619659423828,2066,\N,\N
7239,12002,Sri Sathya Sai Airport,Puttaparthi,India,PUT,VOPN,14.1492996216,77.7910995483,1558,\N,\N
7240,12003,Meiktila Air Base,Meiktila,Burma,\N,VYML,20.88640022277832,95.89279174804688,699,\N,\N
7241,12004,Changi Air Base (East),Singapore,Singapore,\N,WSAC,1.3441400528,104.009002686,22,\N,\N
7242,12005,Soltsy-2 Air Base,Soltsy,Russia,\N,XLLL,58.139545,30.33042,266,\N,\N
7243,12006,Severomorsk-3 Naval Air Base,Severomorsk,Russia,\N,XLMV,68.866669,33.716667,564,\N,\N
7244,12007,Fedotovo Naval Air Base,Kipelovo,Russia,\N,XLWF,59.193031,39.129411,574,\N,\N
7245,12008,Lebyazhye Air Base,Kamyshin,Russia,\N,XRWL,50.2016983032,45.2083015442,381,\N,\N
7246,12009,Smolensk North Airport,Smolensk,Russia,LNX,XUBS,54.824,32.025,820,\N,\N
7247,12010,Rtishchevo Air Base,Rtishchevo,Russia,\N,XWPR,52.297317,43.7241,673,\N,\N
7248,12011,Alpha Airport,Alpha,Australia,ABH,YAPH,-23.646099,146.584,1255,\N,\N
7249,12012,Ararat Airport,\N,Australia,ARY,YARA,-37.30939865112305,142.98899841308594,1008,\N,\N
7250,12013,Benalla Airport,\N,Australia,BLN,YBLA,-36.55189895629883,146.0070037841797,569,\N,\N
7251,12014,Balranald Airport,\N,Australia,BZD,YBRN,-34.62360000610352,143.5780029296875,210,\N,\N
7252,12015,Brewarrina Airport,\N,Australia,BWQ,YBRW,-29.973899841308597,146.81700134277344,414,\N,\N
7253,12016,Cleve Airport,\N,Australia,CVC,YCEE,-33.70970153808594,136.5050048828125,589,\N,\N
7254,12017,Corowa Airport,\N,Australia,CWW,YCOR,-35.99470138549805,146.35699462890625,469,\N,\N
7255,12018,Corryong Airport,\N,Australia,CYG,YCRG,-36.18280029296875,147.88800048828125,963,\N,\N
7256,12019,Cootamundra Airport,\N,Australia,CMD,YCTM,-34.6239013671875,148.0279998779297,1110,\N,\N
7257,12020,Dirranbandi Airport,\N,Australia,DRN,YDBI,-28.591699600219727,148.2169952392578,567,\N,\N
7258,12021,Deniliquin Airport,Deniliquin,Australia,DNQ,YDLQ,-35.5593986511,144.945999146,316,\N,\N
7259,12022,Dysart Airport,\N,Australia,DYA,YDYS,-22.62220001220703,148.36399841308594,670,\N,\N
7260,12023,Echuca Airport,\N,Australia,ECH,YECH,-36.15719985961914,144.76199340820312,323,\N,\N
7261,12024,Forbes Airport,Forbes,Australia,FRB,YFBS,-33.363602,147.934998,760,\N,\N
7262,12025,Gunnedah Airport,\N,Australia,GUH,YGDH,-30.96109962463379,150.25100708007812,863,\N,\N
7263,12026,Hay Airport,\N,Australia,HXX,YHAY,-34.53139877319336,144.8300018310547,305,\N,\N
7264,12027,Hopetoun Airport,\N,Australia,HTU,YHPN,-35.715301513671875,142.36000061035156,256,\N,\N
7265,12028,Kerang Airport,\N,Australia,KRA,YKER,-35.751399993896484,143.93899536132812,254,\N,\N
7266,12029,Kempsey Airport,\N,Australia,KPS,YKMP,-31.07439994812012,152.77000427246094,54,\N,\N
7267,12030,Kingaroy Airport,\N,Australia,KGY,YKRY,-26.580799102783203,151.84100341796875,1492,\N,\N
7268,12031,Latrobe Valley Airport,Morwell,Australia,TGN,YLTV,-38.207199,146.470001,180,\N,\N
7269,12032,Mareeba Airport,\N,Australia,MRG,YMBA,-17.06920051574707,145.41900634765625,1560,\N,\N
7270,12033,Ngukurr Airport,\N,Australia,RPM,YNGU,-14.722800254821776,134.7469940185547,45,\N,\N
7271,12034,Narromine Airport,\N,Australia,QRM,YNRM,-32.214698791503906,148.22500610351562,782,\N,\N
7272,12035,Port Pirie Airport,\N,Australia,PPI,YPIR,-33.23889923095703,137.9949951171875,40,\N,\N
7273,12036,Smithton Airport,\N,Australia,SIO,YSMI,-40.834999084472656,145.08399963378906,31,\N,\N
7274,12037,Snake Bay Airport,\N,Australia,SNB,YSNB,-11.422800064086914,130.6540069580078,173,\N,\N
7275,12038,Stawell Airport,\N,Australia,SWC,YSWL,-37.07170104980469,142.74099731445312,807,\N,\N
7276,12039,Tibooburra Airport,\N,Australia,TYB,YTIB,-29.451099395751957,142.05799865722656,584,\N,\N
7277,12040,Tumut Airport,\N,Australia,TUM,YTMU,-35.26279830932617,148.24099731445312,878,\N,\N
7278,12041,Wangaratta Airport,\N,Australia,WGT,YWGT,-36.41579818725586,146.3070068359375,504,\N,\N
7279,12042,Warracknabeal Airport,\N,Australia,WKB,YWKB,-36.32109832763672,142.41900634765625,397,\N,\N
7280,12043,Warren Airport,\N,Australia,QRR,YWRN,-31.733299255371094,147.80299377441406,669,\N,\N
7281,12044,West Sale Airport,Sale,Australia,SXE,YWSL,-38.090827,146.965335,72,\N,\N
7282,12045,West Wyalong Airport,West Wyalong,Australia,WWY,YWWL,-33.9371986389,147.190994263,859,\N,\N
7283,12046,Young Airport,\N,Australia,NGA,YYNG,-34.25559997558594,148.2480010986328,1267,\N,\N
7284,12047,Guangzhou MR Air Base,Guanghua,China,LHK,ZHGH,32.389400482177734,111.69499969482422,0,\N,\N
7285,12048,Shiyan Wudangshan Airport,Shiyan,China,WDS,ZHSY,32.591667,110.907778,0,\N,\N
7286,12049,Sunchon Air Base,Sunchon,North Korea,\N,ZKSC,39.415699,125.894997,141,\N,\N
7287,12050,Huatugou Airport,Mengnai,China,HTT,ZLHX,38.201984,90.841495,2945,\N,\N
7288,12051,Baruun Urt Airport,\N,Mongolia,UUN,ZMBU,46.660301208496094,113.28500366210938,3205,\N,\N
7289,12052,Bengbu Airport,Bengbu,China,BFU,ZSBB,32.8477333333,117.320244444,100,\N,\N
7290,12053,Rugao Air Base,Rugao,China,RUG,ZSRG,32.25788497924805,120.50165557861328,0,\N,\N
7291,12054,Wuhu Air Base,Wuhu,China,WHU,ZSWU,31.3906,118.408997,0,\N,\N
7292,12055,Shanshan Airport,Shanshan,China,SXJ,ZWSS,42.91170120239258,90.24749755859376,0,\N,\N
